Position,count,percentage
Attaccante,2160,14.028706890952783
Centrocampista,1876,12.184191725660844
Mediano destro,48,0.311749042021173
Difensore centrale,2643,17.165681626290834
Esterno destro,945,6.137559264791843
Terzino Sinistro,1148,7.455997921673053
Esterno sinistro,922,5.98817951549003
Mediano sinistro,44,0.2857699551860752
Seconda punta,83,0.5390660518282783
Ala sinistra,307,1.993894914593752
Centrocampista difensivo,1231,7.995063973501332
Terzino destro,1136,7.378060661167759
Ala destra,294,1.9094628823796842
Portiere,1709,11.099564850295513
Centrocampista offensivo,851,5.5270507241670455
